symbol,timestamp,Open,High,Low,Close,Volume,ret_1,ret_3,ret_5,ret_10,ret_20,roc_1,roc_4,roc_12,ema_20,ema_50,ema_200,ema_align,ema_spread_20_50,rsi_14,rsi_slope,rsi_band_50_70,macd_line,macd_signal,macd_hist,volatility_20,atr_pct,atr_band_high,atr_band_low,vol_pctile_60d,bb_z,dist_min20,dist_max20,donchian_up_20,donchian_dn_20,donchian_range_20,hod_sin,hod_cos,dow_sin,dow_cos,obv,obv_z,vol_z,label
WIF,2025-06-26T07:00:00Z,0.800273483450399,0.800273483450399,0.800273483450399,0.800273483450399,366115753.03167844,0.0038198815663301744,0.0008931491157844196,-0.009789683798104298,-0.013350508416050899,-0.05615001323482849,0.0038198815663301744,-0.013947043904610545,-0.009560829835350115,0.8120623230268949,0.8156225899732359,0.7582952054514469,1,-0.6061191525011113,51.87649974434336,22.702951670972254,1,-0.011371876045829676,-0.011226107343857848,-0.019859950358922542,0.05604346281502871,0.007339832141440319,0.8179361960626665,0.8061884499911232,0.9050036258158085,-78.19234247589293,1.6624600272456387,9.507624326706862,0.8561200616172889,0.7905084043233126,11.1700843539525,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-755079275.1009183,-1.5597240584854564,-0.8893790542958607,0.0
WIF,2025-06-26T08:00:00Z,0.8036256977264168,0.8036256977264168,0.8036256977264168,0.8036256977264168,369493261.4000675,0.004188835873412566,0.006831644852458574,-0.009816629909033647,0.0059411022433635274,-0.05646442926395656,0.004188835873412566,0.005085726244253408,-0.002973751297622673,0.8112588349030398,0.8151521236106155,0.7587462551258248,1,-0.7499986310083451,45.546522014466845,11.958253883796473,0,-0.010610435252349948,-0.011102972925556268,0.07624952293388464,0.05599835220703336,0.006459550883136615,0.8164498959884998,0.8060677738175799,0.9006526468455403,-49.20164268681489,2.5269002208133204,10.112453509342759,0.8561200616172889,0.7905084043233126,12.63935373015608,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,-385586013.7008508,-1.2425753754753166,-0.8308202629546181,0.0
WIF,2025-06-26T09:00:00Z,0.800290887470348,0.800290887470348,0.800290887470348,0.800290887470348,362651749.0256713,-0.004149705846270724,0.0038417122299787554,0.000914916130054344,0.01237492617856395,-0.058674360083157295,-0.004149705846270724,0.0026535896896038302,-0.013329051167011219,0.8102142684808787,0.8145693300364875,0.7591596345521385,1,-0.8249397653106312,44.78569310448875,0.9500959172063119,0,-0.010158972938827504,-0.010914172928210515,0.11448215289999757,0.056002552962182324,0.006596661315783372,0.8154935164196283,0.8049350205421292,0.8665699782451052,-65.51563683647753,1.8530069548793475,10.575213514249958,0.8561200616172889,0.7905084043233126,12.428220469129306,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,-748237762.7265221,-1.433656872882978,-0.8452794765894449,0.0
WIF,2025-06-26T10:00:00Z,0.7776039461627227,0.7776039461627227,0.7776039461627227,0.7776039461627227,369035072.20730746,-0.028348368902883392,-0.02832723782117086,-0.025770004152717352,-0.023158691582748303,-0.09171157057836277,-0.028348368902883392,-0.024615562948418823,-0.026631710602644798,0.8071085234981972,0.8131197071394771,0.7593431600408012,1,-0.8894125454397894,34.982803768282,-16.893695976061366,0,-0.011499275869424452,-0.011031193516453304,-0.053854745671120176,0.06038189504462579,0.008691571135246485,0.8138671235113188,0.8003499234850755,0.8767222625090645,-260.56800163950055,0.0,8.771314445298314,0.8368857520878102,0.7776039461627227,8.771314445298314,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,-1117272834.9338295,-1.610518208714602,-0.7654378784293284,0.0
WIF,2025-06-26T11:00:00Z,0.7724023110897407,0.7724023110897407,0.7724023110897407,0.7724023110897407,372076458.9747123,-0.006689311568762957,-0.038853146091534896,-0.031140213347179313,-0.029035111323258755,-0.07705166545995112,-0.006689311568762957,-0.03482705967026556,-0.022904365259811543,0.8038031699354871,0.8115229465100757,0.7594731018422831,1,-1.1407428806609614,29.576333911994965,-15.97018810247188,0,-0.012833270127202034,-0.011391608838603049,-0.16454695023916163,0.05749015796354652,0.008761397804721358,0.8105704938482304,0.7970358460227437,0.5939086294416244,-308.4581064334985,0.0,5.791135954906572,0.8115928039193278,0.7724023110897407,5.791135954906572,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,-1489349293.908542,-1.764137659191242,-0.7112525747020367,0.0
WIF,2025-06-26T12:00:00Z,0.7727432695380116,0.7727432695380116,0.7727432695380116,0.7727432695380116,373186133.2931911,0.00044142598148089185,-0.03442200625251668,-0.0344010072577815,-0.04385391607249589,-0.044072190615613516,0.00044142598148089185,-0.03842887089820102,-0.029264768766778304,0.8008450841833465,0.8100021748641124,0.7596051433118923,1,-1.5471632040165055,34.2288600447595,-10.55683305972925,0,-0.013704975266314423,-0.011854282124145325,-0.24162855679813464,0.04801529540663038,0.00765924842118407,0.8067637168505362,0.7949264515161569,0.5888324873096447,-286.82512964022084,0.0576076380210426,6.563937410186193,0.8115928039193278,0.7724023110897407,6.621545048207235,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,-1116163160.6153507,-1.4520937474360154,-0.672457984438875,0.0
WIF,2025-06-26T13:00:00Z,0.7644168760172757,0.7644168760172757,0.7644168760172757,0.7644168760172757,377834798.038128,-0.010775109727858112,-0.016958594681163564,-0.048789905325413274,-0.05812758279057062,-0.0411074790287963,-0.010775109727858112,-0.04482621508595086,-0.03907337372207553,0.7973757310246731,0.8082145160858052,0.7596530212492594,1,-1.8322867225932413,34.247324829411,-0.7354789388709975,0,-0.01489596680697336,-0.012462619060710934,-0.31444686893156415,0.04732747178101802,0.007738502070415008,0.8032911726023929,0.7914602894469532,0.6105873821609862,-303.23852474362764,0.0,7.975047556844652,0.8115928039193278,0.7644168760172757,7.975047556844652,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,-1493997958.6534786,-1.617967533478229,-0.6063612024947854,0.0
WIF,2025-06-26T16:00:00Z,0.7634842611290944,0.7634842611290944,0.7634842611290944,0.7634842611290944,347159589.47598064,0.0015435140751396403,-0.0012200344045782963,-0.011545861311658023,-0.0423265340743153,-0.05277562555498083,0.0015435140751396403,-0.011981998127855276,-0.045118722255901966,0.7877968919511474,0.8027924186846237,0.759668700896602,1,-2.5409990065274886,22.947776729787748,-11.299548099623252,0,-0.016883371055710028,-0.014557040467182144,-0.30096381943847955,0.046596574140259625,0.007729602159050925,0.7936983215443723,0.7818954623579226,0.6475707034082668,-188.39442812696598,1.493455959784941,8.152015038095938,0.8115928039193278,0.7546707359318415,9.645470997880878,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419,-1154456423.6206732,-1.1984664278451724,-0.7987959775434891,0.0
WIF,2025-06-26T19:00:00Z,0.7543242184206588,0.7543242184206588,0.7543242184206588,0.7543242184206588,314478646.299288,-0.001975562615878612,-0.01199768374385235,-0.0004591638375309737,-0.0574374515183923,-0.04577330956225323,-0.001975562615878612,-0.0104726882624403,-0.05741695305413441,0.7793573813858411,0.7974199484542099,0.7595396602271633,1,-3.370500078933094,20.77779233812177,-2.1699843916659773,0,-0.017525096028228826,-0.015974677509219427,-0.21823372597845633,0.043860767720733974,0.007104394667039017,0.7847163983404072,0.773998364431275,0.38578680203045684,-196.1859096462885,0.0,10.686397521074044,0.8115928039193278,0.7543242184206588,10.686397521074044,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,-1485073412.5690565,-1.2891702973302535,-1.129919179446523,1.0
WIF,2025-06-26T21:00:00Z,0.765874508727778,0.765874508727778,0.765874508727778,0.765874508727778,312026987.5505715,0.011181336775910822,0.013306290603047888,0.003130709721702374,-0.008451298330209522,-0.03724102526562467,0.011181336775910822,0.013355604008432165,-0.043004836468096386,0.776181770218594,0.7946752229062654,0.7595816713935094,1,-3.1349954070701473,29.173975478816942,8.366599565182213,0,-0.015914663491241043,-0.016144366155766643,0.029822397603267745,0.04538637428678137,0.007702354035425716,0.7820808068315231,0.7702827336056649,0.36475707034082666,-82.39538769491494,1.9579960364721383,7.750129078932599,0.8115928039193278,0.7543242184206588,9.708125115404739,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,-860995869.176568,-0.8058124552094216,-1.2076600711647436,0.0
